FILE generate by TH Lin, thl@mail.ntust.edu.tw


#Intrinsic parameter
714.074036 0.000000 400.000000
0.000000 714.073975 300.000000
0.000000 0.000000 1.000000

#Extrinsic parameter for 001.bmp
0.866849 -0.493982 -0.067491 5.680202
-0.033026 0.078177 -0.996382 40.192253
0.497476 0.865950 0.051456 131.575211

#Extrinsic parameter for 002.bmp
0.691898 0.718699 -0.068914 3.033622
-0.018523 -0.077748 -0.996791 40.538036
-0.721758 0.690961 -0.040479 132.814957

#Extrinsic parameter for 003.bmp
-0.708825 0.705031 -0.022315 2.710659
-0.023775 -0.055497 -0.998163 40.025272
-0.704984 -0.707001 0.056103 131.650055

#Extrinsic parameter for 004.bmp
-0.990984 -0.131983 -0.023039 -1.359515
0.033893 -0.080598 -0.996156 40.564919
0.129620 -0.987970 0.084348 126.794678

#Extrinsic parameter for 005.bmp
-0.071742 -0.997325 0.014031 10.313296
-0.040528 -0.011141 -0.999102 40.912224
0.996600 -0.072247 -0.039619 127.704018

#Extrinsic parameter for 006.bmp
-0.946351 -0.190357 0.261120 -10.116337
-0.241168 0.953881 -0.178661 7.099833
-0.215071 -0.232055 -0.948628 156.788635

#Extrinsic parameter for 007.bmp
-0.280008 0.952858 0.116867 -2.020520
-0.725914 -0.130496 -0.675269 28.864723
-0.628193 -0.273920 0.728245 106.115578

#Extrinsic parameter for 008.bmp
0.897493 -0.360072 -0.254667 8.695093
0.088773 0.713100 -0.695396 31.042011
0.432002 0.601513 0.671979 125.422333
